Date : 2025-02-03 06:37:31
Directory : c:\disorber_docs\src
Total : 50 files,  2627 codes, 72 comments, 315 blanks, all 3014 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\disorber_docs\src\components\ui\backgrounds\WaveBackground.jsx           | JavaScript JSX     |         78 |          0 |         10 |         88 |
| c:\disorber_docs\src\components\ui\buttons\MotionButton\index.jsx           | JavaScript JSX     |         58 |          0 |          3 |         61 |
| c:\disorber_docs\src\components\ui\buttons\MotionButton\variants.jsx        | JavaScript JSX     |         15 |          0 |          5 |         20 |
| c:\disorber_docs\src\components\window\hooks\useWindowPosition.jsx          | JavaScript JSX     |         30 |          3 |          9 |         42 |
| c:\disorber_docs\src\components\window\index.jsx                            | JavaScript JSX     |         69 |          2 |         12 |         83 |
| c:\disorber_docs\src\components\window\wrapper\index.jsx                    | JavaScript JSX     |         65 |          0 |          9 |         74 |
| c:\disorber_docs\src\index.css                                              | CSS                |         11 |          1 |          1 |         13 |
| c:\disorber_docs\src\index.js                                               | JavaScript         |         14 |          0 |          2 |         16 |
| c:\disorber_docs\src\launch.json                                            | JSON with Comments |         27 |          0 |          1 |         28 |
| c:\disorber_docs\src\modules\Binary\core\BinaryContext.jsx                  | JavaScript JSX     |        119 |          3 |         18 |        140 |
| c:\disorber_docs\src\modules\Binary\core\BinaryStream.jsx                   | JavaScript JSX     |         21 |          5 |          5 |         31 |
| c:\disorber_docs\src\modules\Binary\core\streamManager.jsx                  | JavaScript JSX     |         36 |          1 |         11 |         48 |
| c:\disorber_docs\src\modules\Binary\hooks\useDeviceDetection.jsx            | JavaScript JSX     |         29 |          0 |          8 |         37 |
| c:\disorber_docs\src\modules\Binary\index.jsx                               | JavaScript JSX     |         10 |          0 |          3 |         13 |
| c:\disorber_docs\src\modules\Binary\ui\BinaryPage1.jsx                      | JavaScript JSX     |         93 |          0 |          5 |         98 |
| c:\disorber_docs\src\modules\Binary\ui\Display\index.jsx                    | JavaScript JSX     |        108 |         15 |         10 |        133 |
| c:\disorber_docs\src\modules\Binary\ui\KeyboardControls.jsx                 | JavaScript JSX     |         29 |          1 |          6 |         36 |
| c:\disorber_docs\src\modules\Binary\ui\TouchControls.jsx                    | JavaScript JSX     |         42 |          0 |          5 |         47 |
| c:\disorber_docs\src\modules\Binary\ui\Trace\index.jsx                      | JavaScript JSX     |        157 |          2 |         10 |        169 |
| c:\disorber_docs\src\modules\Binary\ui\Workspace\index.jsx                  | JavaScript JSX     |        148 |          2 |          7 |        157 |
| c:\disorber_docs\src\modules\Binary\utils\colors.jsx                        | JavaScript JSX     |          4 |          1 |          1 |          6 |
| c:\disorber_docs\src\modules\Binary\utils\scales.jsx                        | JavaScript JSX     |          8 |          3 |          2 |         13 |
| c:\disorber_docs\src\modules\Docs\index.jsx                                 | JavaScript JSX     |         19 |          0 |          2 |         21 |
| c:\disorber_docs\src\modules\Gallery\index.jsx                              | JavaScript JSX     |         60 |          2 |          4 |         66 |
| c:\disorber_docs\src\modules\Home\index.jsx                                 | JavaScript JSX     |         54 |          1 |          6 |         61 |
| c:\disorber_docs\src\modules\Image\index.jsx                                | JavaScript JSX     |         19 |          0 |          2 |         21 |
| c:\disorber_docs\src\modules\Settings\index.jsx                             | JavaScript JSX     |         19 |          0 |          2 |         21 |
| c:\disorber_docs\src\porting\Program.cs                                     | C#                 |          5 |          1 |          4 |         10 |
| c:\disorber_docs\src\porting\Services\SidebarService.cs                     | C#                 |         22 |          0 |          4 |         26 |
| c:\disorber_docs\src\porting\Shared\MainLayout.razor                        | Razor              |         27 |          0 |          6 |         33 |
| c:\disorber_docs\src\porting\Shared\NavMenu.razor                           | Razor              |         47 |          0 |          7 |         54 |
| c:\disorber_docs\src\porting\Shared\TopNav.razor                            | Razor              |         18 |          0 |          5 |         23 |
| c:\disorber_docs\src\porting\app.css                                        | CSS                |         73 |          6 |         17 |         96 |
| Total                                                                       |                    |      2,627 |         72 |        315 |      3,014 |
+-----------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
